42
3040 29.2 25.4
2470 24.7 22.2
3610 32.3 32.2
3480 31.3 31
3810 31.5 30.9
2330 24.5 23.9
1800 19.9 19.2
3110 27.3 27.2
3160 27.1 26.3
2310 24 23.9
4360 33.8 33.2
1880 21.5 21
3670 32.2 29
1740 22.5 22
2250 27.5 23.8
2650 25.6 25.3
4970 34.5 34.2
2620 26.2 25.7
2900 26.7 26.4
1670 21.1 20
2540 24.1 23.9
3840 30.7 30.7
3800 32.7 32.6
4600 32.6 32.5
1900 22.1 20.8
2530 25.3 23.1
2920 30.8 29.8
4990 38.9 38.1
1670 22.1 21.3
3310 29.2 28.5
3450 30.1 29.2
3600 31.4 31.4
2850 26.7 25.9
1590 22.1 21.4
3770 30.3 29.8
3850 32 30.6
2480 23.2 22.6
3570 30.3 30.3
2620 29.9 23.8
1890 20.8 18.4
3030 33.2 29.4
3030 28.2 28.2
